total run time: 7.152557373046875e-07...
total run time: 4.76837158203125e-07...
total run time: 7.152557373046875e-07...
total run time: 7.152557373046875e-07...
total run time: 7.152557373046875e-07...
total run time: 9.5367431640625e-07...
total run time: 4.76837158203125e-07...
total run time: 1.430511474609375e-06...
total run time: 8.168914794921875...
total run time: 49.096269845962524...
total run time: 4.417592763900757...
total run time: 10.9967782497406...
total run time: 2.56803822517395...
total run time: 4.267964124679565...
total run time: 4.180541515350342...
total run time: 4.5250208377838135...
total run time: 6.813085317611694...
Ran code at 1740171401.4873066, with a total run time: 4.409690618515015...
Ran code at 2025-02-21 15:00:18.422079, with a total run time: 3.865020513534546...
Ran code at 2025-02-21 15:00:30.945095, with a total run time: 12.915085792541504...
Ran code at 2025-02-21 15:02:42.424142, with a total run time: 6.587632417678833...
Ran code at 2025-02-21 15:07:02.685674, with 100000, and a total run time: 10.795963525772095...
Ran code at 2025-02-21 15:07:27.827335, with 100000 steps, and a total run time: 16.98507571220398...
Ran code at 2025-02-21 15:08:26.957960, with 10000 steps, and a total run time: 12.840903997421265...
Ran code at 2025-02-21 15:08:59.945218, with 10000 steps, and a total run time: 0.8238391876220703...
Ran code at 2025-02-21 15:09:38.887684, with 10000 steps, and a total run time: 11.289170980453491...
Ran code at 2025-02-21 15:10:14.729429, with 10000 steps, and a total run time: 5.68024206161499...
Ran code at 2025-02-21 15:10:30.644561, with 100000 steps, and a total run time: 6.050590753555298...
Ran code at 2025-02-21 15:10:47.187702, with 50000 steps, and a total run time: 24.988373041152954...
Ran code at 2025-02-21 15:20:08.384668, with 50000 steps, and a total run time: 6.36462140083313...
Ran code at 2025-02-21 15:23:44.578087, with 50000 steps, and a total run time: 2.4823944568634033...
Ran code at 2025-02-21 15:25:20.827256, with 50000 steps, and a total run time: 2.9543066024780273...
Ran code at 2025-02-21 15:29:01.929200, with 50000 steps, and a total run time: 3.5177066326141357...
Ran code at 2025-02-21 15:29:11.597365, with 50000 steps, and a total run time: 7.231379747390747...
Ran code at 2025-02-21 15:31:50.526450, with 50000 steps, and a total run time: 10.406193494796753...
Ran code at 2025-02-21 15:32:16.264480, with 10000 steps, and a total run time: 3.508618116378784...
Ran code at 2025-02-21 15:32:54.964909, with 10000 steps, and a total run time: 3.9565935134887695...
Ran code at 2025-02-21 15:33:14.663693, with 10000 steps, and a total run time: 3.4028866291046143...
Ran code at 2025-02-21 15:33:27.615530, with 10000 steps, and a total run time: 8.70157790184021...
Ran code at 2025-02-21 15:34:19.462632, with 10000 steps, and a total run time: 5.286240816116333...
Ran code at 2025-02-21 15:36:55.988266, with 10000 steps, and a total run time: 5.232245206832886...
Ran code at 2025-02-21 15:37:34.148273, with 10000 steps, and a total run time: 17.0799560546875...
Ran code at 2025-02-21 15:38:11.255170, with 10000 steps, and a total run time: 4.611994743347168...
Ran code at 2025-02-21 15:40:12.074497, with 10000 steps, and a total run time: 1.5174262523651123...
Ran code at 2025-02-21 15:47:34.341213, with 10000 steps, and a total run time: 10.886157751083374...
Ran code at 2025-02-21 15:48:40.227279, with 1000 steps, and a total run time: 9.567524671554565...
